h0 [SinglePointCrossover,BitFlipMutation] 1999
h1 [SinglePointCrossover,LoopMoveOperator] 1982
h2 [SinglePointCrossover,LocalMoveOperator] 1976
h3 [SinglePointCrossover,SegmentMutation] 2002
h4 [SinglePointCrossover,OppositeMoveOperator] 1952
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 1983
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 1970
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 2041
h8 [IntegerTwoPointsCrossover,SegmentMutation] 1960
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 1967
h10 [MultiPointsCrossover,BitFlipMutation] 1942
h11 [MultiPointsCrossover,LoopMoveOperator] 1944
h12 [MultiPointsCrossover,LocalMoveOperator] 2022
h13 [MultiPointsCrossover,SegmentMutation] 2056
h14 [MultiPointsCrossover,OppositeMoveOperator] 2054
