h0 [SinglePointCrossover,BitFlipMutation] 2000
h1 [SinglePointCrossover,LoopMoveOperator] 2019
h2 [SinglePointCrossover,LocalMoveOperator] 2011
h3 [SinglePointCrossover,SegmentMutation] 1900
h4 [SinglePointCrossover,OppositeMoveOperator] 2032
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 1977
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 1969
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 1981
h8 [IntegerTwoPointsCrossover,SegmentMutation] 2004
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 2047
h10 [MultiPointsCrossover,BitFlipMutation] 1994
h11 [MultiPointsCrossover,LoopMoveOperator] 1988
h12 [MultiPointsCrossover,LocalMoveOperator] 1931
h13 [MultiPointsCrossover,SegmentMutation] 1940
h14 [MultiPointsCrossover,OppositeMoveOperator] 1957
