h0 [SinglePointCrossover,BitFlipMutation] 4013
h1 [SinglePointCrossover,LoopMoveOperator] 4051
h2 [SinglePointCrossover,LocalMoveOperator] 4119
h3 [SinglePointCrossover,SegmentMutation] 3987
h4 [SinglePointCrossover,OppositeMoveOperator] 3963
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 3939
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 4130
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 4049
h8 [IntegerTwoPointsCrossover,SegmentMutation] 3942
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 3989
h10 [MultiPointsCrossover,BitFlipMutation] 3885
h11 [MultiPointsCrossover,LoopMoveOperator] 4102
h12 [MultiPointsCrossover,LocalMoveOperator] 4089
h13 [MultiPointsCrossover,SegmentMutation] 3917
h14 [MultiPointsCrossover,OppositeMoveOperator] 3825
