h0 [SinglePointCrossover,BitFlipMutation] 3983
h1 [SinglePointCrossover,LoopMoveOperator] 3915
h2 [SinglePointCrossover,LocalMoveOperator] 4056
h3 [SinglePointCrossover,SegmentMutation] 4088
h4 [SinglePointCrossover,OppositeMoveOperator] 3915
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 3932
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 4056
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 3993
h8 [IntegerTwoPointsCrossover,SegmentMutation] 4023
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 4052
h10 [MultiPointsCrossover,BitFlipMutation] 4016
h11 [MultiPointsCrossover,LoopMoveOperator] 3976
h12 [MultiPointsCrossover,LocalMoveOperator] 4007
h13 [MultiPointsCrossover,SegmentMutation] 3951
h14 [MultiPointsCrossover,OppositeMoveOperator] 4037
