h0 [SinglePointCrossover,BitFlipMutation] 1996
h1 [SinglePointCrossover,LoopMoveOperator] 2034
h2 [SinglePointCrossover,LocalMoveOperator] 2038
h3 [SinglePointCrossover,SegmentMutation] 1989
h4 [SinglePointCrossover,OppositeMoveOperator] 1988
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 1950
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 2038
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 2010
h8 [IntegerTwoPointsCrossover,SegmentMutation] 1918
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 2004
h10 [MultiPointsCrossover,BitFlipMutation] 1976
h11 [MultiPointsCrossover,LoopMoveOperator] 1988
h12 [MultiPointsCrossover,LocalMoveOperator] 1936
h13 [MultiPointsCrossover,SegmentMutation] 1904
h14 [MultiPointsCrossover,OppositeMoveOperator] 2031
