h0 [SinglePointCrossover,BitFlipMutation] 3982
h1 [SinglePointCrossover,LoopMoveOperator] 4034
h2 [SinglePointCrossover,LocalMoveOperator] 3954
h3 [SinglePointCrossover,SegmentMutation] 3841
h4 [SinglePointCrossover,OppositeMoveOperator] 3942
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 4043
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 4042
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 3973
h8 [IntegerTwoPointsCrossover,SegmentMutation] 3985
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 3921
h10 [MultiPointsCrossover,BitFlipMutation] 3929
h11 [MultiPointsCrossover,LoopMoveOperator] 4018
h12 [MultiPointsCrossover,LocalMoveOperator] 3977
h13 [MultiPointsCrossover,SegmentMutation] 3808
h14 [MultiPointsCrossover,OppositeMoveOperator] 3951
