h0 [SinglePointCrossover,BitFlipMutation] 3884
h1 [SinglePointCrossover,LoopMoveOperator] 3959
h2 [SinglePointCrossover,LocalMoveOperator] 3948
h3 [SinglePointCrossover,SegmentMutation] 3971
h4 [SinglePointCrossover,OppositeMoveOperator] 3972
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 3887
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 4029
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 3907
h8 [IntegerTwoPointsCrossover,SegmentMutation] 4147
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 3950
h10 [MultiPointsCrossover,BitFlipMutation] 3983
h11 [MultiPointsCrossover,LoopMoveOperator] 4053
h12 [MultiPointsCrossover,LocalMoveOperator] 3875
h13 [MultiPointsCrossover,SegmentMutation] 3900
h14 [MultiPointsCrossover,OppositeMoveOperator] 3935
