h0 [SinglePointCrossover,BitFlipMutation] 4028
h1 [SinglePointCrossover,LoopMoveOperator] 4024
h2 [SinglePointCrossover,LocalMoveOperator] 4020
h3 [SinglePointCrossover,SegmentMutation] 3953
h4 [SinglePointCrossover,OppositeMoveOperator] 4052
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 3965
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 4070
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 3984
h8 [IntegerTwoPointsCrossover,SegmentMutation] 4097
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 4018
h10 [MultiPointsCrossover,BitFlipMutation] 4010
h11 [MultiPointsCrossover,LoopMoveOperator] 4033
h12 [MultiPointsCrossover,LocalMoveOperator] 4080
h13 [MultiPointsCrossover,SegmentMutation] 3848
h14 [MultiPointsCrossover,OppositeMoveOperator] 4018
