h0 [SinglePointCrossover,BitFlipMutation] 4009
h1 [SinglePointCrossover,LoopMoveOperator] 4070
h2 [SinglePointCrossover,LocalMoveOperator] 3914
h3 [SinglePointCrossover,SegmentMutation] 4051
h4 [SinglePointCrossover,OppositeMoveOperator] 4022
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 3988
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 4051
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 4026
h8 [IntegerTwoPointsCrossover,SegmentMutation] 4024
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 3992
h10 [MultiPointsCrossover,BitFlipMutation] 4065
h11 [MultiPointsCrossover,LoopMoveOperator] 4073
h12 [MultiPointsCrossover,LocalMoveOperator] 3935
h13 [MultiPointsCrossover,SegmentMutation] 3990
h14 [MultiPointsCrossover,OppositeMoveOperator] 3990
