h0 [SinglePointCrossover,BitFlipMutation] 4027
h1 [SinglePointCrossover,LoopMoveOperator] 4014
h2 [SinglePointCrossover,LocalMoveOperator] 3973
h3 [SinglePointCrossover,SegmentMutation] 4064
h4 [SinglePointCrossover,OppositeMoveOperator] 4073
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 3911
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 3857
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 4110
h8 [IntegerTwoPointsCrossover,SegmentMutation] 3948
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 4007
h10 [MultiPointsCrossover,BitFlipMutation] 4005
h11 [MultiPointsCrossover,LoopMoveOperator] 4014
h12 [MultiPointsCrossover,LocalMoveOperator] 4082
h13 [MultiPointsCrossover,SegmentMutation] 3941
h14 [MultiPointsCrossover,OppositeMoveOperator] 3974
