h0 [SinglePointCrossover,BitFlipMutation] 1993
h1 [SinglePointCrossover,LoopMoveOperator] 2001
h2 [SinglePointCrossover,LocalMoveOperator] 1959
h3 [SinglePointCrossover,SegmentMutation] 1993
h4 [SinglePointCrossover,OppositeMoveOperator] 1979
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 1913
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 1910
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 2086
h8 [IntegerTwoPointsCrossover,SegmentMutation] 1937
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 1962
h10 [MultiPointsCrossover,BitFlipMutation] 2007
h11 [MultiPointsCrossover,LoopMoveOperator] 2029
h12 [MultiPointsCrossover,LocalMoveOperator] 1986
h13 [MultiPointsCrossover,SegmentMutation] 1953
h14 [MultiPointsCrossover,OppositeMoveOperator] 1992
