h0 [SinglePointCrossover,BitFlipMutation] 4134
h1 [SinglePointCrossover,LoopMoveOperator] 3884
h2 [SinglePointCrossover,LocalMoveOperator] 3985
h3 [SinglePointCrossover,SegmentMutation] 4068
h4 [SinglePointCrossover,OppositeMoveOperator] 4006
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 3934
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 4121
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 3926
h8 [IntegerTwoPointsCrossover,SegmentMutation] 4011
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 3935
h10 [MultiPointsCrossover,BitFlipMutation] 4018
h11 [MultiPointsCrossover,LoopMoveOperator] 4051
h12 [MultiPointsCrossover,LocalMoveOperator] 3992
h13 [MultiPointsCrossover,SegmentMutation] 4027
h14 [MultiPointsCrossover,OppositeMoveOperator] 3908
