h0 [SinglePointCrossover,BitFlipMutation] 4060
h1 [SinglePointCrossover,LoopMoveOperator] 4052
h2 [SinglePointCrossover,LocalMoveOperator] 3951
h3 [SinglePointCrossover,SegmentMutation] 4043
h4 [SinglePointCrossover,OppositeMoveOperator] 4048
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 3948
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 3940
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 4028
h8 [IntegerTwoPointsCrossover,SegmentMutation] 3913
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 4081
h10 [MultiPointsCrossover,BitFlipMutation] 3911
h11 [MultiPointsCrossover,LoopMoveOperator] 3913
h12 [MultiPointsCrossover,LocalMoveOperator] 3887
h13 [MultiPointsCrossover,SegmentMutation] 4079
h14 [MultiPointsCrossover,OppositeMoveOperator] 4146
