h0 [SinglePointCrossover,BitFlipMutation] 4037
h1 [SinglePointCrossover,LoopMoveOperator] 3964
h2 [SinglePointCrossover,LocalMoveOperator] 4014
h3 [SinglePointCrossover,SegmentMutation] 4003
h4 [SinglePointCrossover,OppositeMoveOperator] 4024
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 4071
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 4014
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 4008
h8 [IntegerTwoPointsCrossover,SegmentMutation] 3953
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 4056
h10 [MultiPointsCrossover,BitFlipMutation] 3929
h11 [MultiPointsCrossover,LoopMoveOperator] 4011
h12 [MultiPointsCrossover,LocalMoveOperator] 3951
h13 [MultiPointsCrossover,SegmentMutation] 4039
h14 [MultiPointsCrossover,OppositeMoveOperator] 3926
