h0 [SinglePointCrossover,BitFlipMutation] 4008
h1 [SinglePointCrossover,LoopMoveOperator] 3860
h2 [SinglePointCrossover,LocalMoveOperator] 3932
h3 [SinglePointCrossover,SegmentMutation] 4014
h4 [SinglePointCrossover,OppositeMoveOperator] 3978
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 3873
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 4056
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 3985
h8 [IntegerTwoPointsCrossover,SegmentMutation] 4033
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 3985
h10 [MultiPointsCrossover,BitFlipMutation] 3896
h11 [MultiPointsCrossover,LoopMoveOperator] 3909
h12 [MultiPointsCrossover,LocalMoveOperator] 3939
h13 [MultiPointsCrossover,SegmentMutation] 3885
h14 [MultiPointsCrossover,OppositeMoveOperator] 4047
