h0 [SinglePointCrossover,BitFlipMutation] 1898
h1 [SinglePointCrossover,LoopMoveOperator] 1998
h2 [SinglePointCrossover,LocalMoveOperator] 1977
h3 [SinglePointCrossover,SegmentMutation] 1964
h4 [SinglePointCrossover,OppositeMoveOperator] 2067
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 2047
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 1922
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 2038
h8 [IntegerTwoPointsCrossover,SegmentMutation] 2007
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 2049
h10 [MultiPointsCrossover,BitFlipMutation] 2010
h11 [MultiPointsCrossover,LoopMoveOperator] 1885
h12 [MultiPointsCrossover,LocalMoveOperator] 1953
h13 [MultiPointsCrossover,SegmentMutation] 1944
h14 [MultiPointsCrossover,OppositeMoveOperator] 1991
