h0 [SinglePointCrossover,BitFlipMutation] 3931
h1 [SinglePointCrossover,LoopMoveOperator] 3983
h2 [SinglePointCrossover,LocalMoveOperator] 4037
h3 [SinglePointCrossover,SegmentMutation] 4036
h4 [SinglePointCrossover,OppositeMoveOperator] 3953
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 4014
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 3963
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 4036
h8 [IntegerTwoPointsCrossover,SegmentMutation] 4026
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 4049
h10 [MultiPointsCrossover,BitFlipMutation] 3996
h11 [MultiPointsCrossover,LoopMoveOperator] 3997
h12 [MultiPointsCrossover,LocalMoveOperator] 4009
h13 [MultiPointsCrossover,SegmentMutation] 3988
h14 [MultiPointsCrossover,OppositeMoveOperator] 3982
