h0 [SinglePointCrossover,BitFlipMutation] 3963
h1 [SinglePointCrossover,LoopMoveOperator] 4128
h2 [SinglePointCrossover,LocalMoveOperator] 3971
h3 [SinglePointCrossover,SegmentMutation] 3963
h4 [SinglePointCrossover,OppositeMoveOperator] 3917
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 3983
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 4055
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 4010
h8 [IntegerTwoPointsCrossover,SegmentMutation] 3955
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 3923
h10 [MultiPointsCrossover,BitFlipMutation] 4055
h11 [MultiPointsCrossover,LoopMoveOperator] 4004
h12 [MultiPointsCrossover,LocalMoveOperator] 4076
h13 [MultiPointsCrossover,SegmentMutation] 3889
h14 [MultiPointsCrossover,OppositeMoveOperator] 4108
