h0 [SinglePointCrossover,BitFlipMutation] 1970
h1 [SinglePointCrossover,LoopMoveOperator] 1967
h2 [SinglePointCrossover,LocalMoveOperator] 1980
h3 [SinglePointCrossover,SegmentMutation] 1930
h4 [SinglePointCrossover,OppositeMoveOperator] 1957
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 2024
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 1932
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 2015
h8 [IntegerTwoPointsCrossover,SegmentMutation] 2011
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 1948
h10 [MultiPointsCrossover,BitFlipMutation] 2007
h11 [MultiPointsCrossover,LoopMoveOperator] 2056
h12 [MultiPointsCrossover,LocalMoveOperator] 1992
h13 [MultiPointsCrossover,SegmentMutation] 1997
h14 [MultiPointsCrossover,OppositeMoveOperator] 2014
