h0 [SinglePointCrossover,BitFlipMutation] 1997
h1 [SinglePointCrossover,LoopMoveOperator] 1964
h2 [SinglePointCrossover,LocalMoveOperator] 1946
h3 [SinglePointCrossover,SegmentMutation] 2048
h4 [SinglePointCrossover,OppositeMoveOperator] 1908
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 2083
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 1958
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 1969
h8 [IntegerTwoPointsCrossover,SegmentMutation] 2050
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 1940
h10 [MultiPointsCrossover,BitFlipMutation] 2043
h11 [MultiPointsCrossover,LoopMoveOperator] 2002
h12 [MultiPointsCrossover,LocalMoveOperator] 1955
h13 [MultiPointsCrossover,SegmentMutation] 1956
h14 [MultiPointsCrossover,OppositeMoveOperator] 1981
