h0 [SinglePointCrossover,BitFlipMutation] 3897
h1 [SinglePointCrossover,LoopMoveOperator] 3936
h2 [SinglePointCrossover,LocalMoveOperator] 3991
h3 [SinglePointCrossover,SegmentMutation] 4021
h4 [SinglePointCrossover,OppositeMoveOperator] 3957
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 3987
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 4049
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 3939
h8 [IntegerTwoPointsCrossover,SegmentMutation] 3927
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 3927
h10 [MultiPointsCrossover,BitFlipMutation] 4074
h11 [MultiPointsCrossover,LoopMoveOperator] 3927
h12 [MultiPointsCrossover,LocalMoveOperator] 3948
h13 [MultiPointsCrossover,SegmentMutation] 3938
h14 [MultiPointsCrossover,OppositeMoveOperator] 3982
