h0 [SinglePointCrossover,BitFlipMutation] 1984
h1 [SinglePointCrossover,LoopMoveOperator] 2036
h2 [SinglePointCrossover,LocalMoveOperator] 1968
h3 [SinglePointCrossover,SegmentMutation] 2033
h4 [SinglePointCrossover,OppositeMoveOperator] 2004
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 2014
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 1977
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 1917
h8 [IntegerTwoPointsCrossover,SegmentMutation] 1974
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 2054
h10 [MultiPointsCrossover,BitFlipMutation] 1943
h11 [MultiPointsCrossover,LoopMoveOperator] 1985
h12 [MultiPointsCrossover,LocalMoveOperator] 1988
h13 [MultiPointsCrossover,SegmentMutation] 1959
h14 [MultiPointsCrossover,OppositeMoveOperator] 1914
