h0 [SinglePointCrossover,BitFlipMutation] 4044
h1 [SinglePointCrossover,LoopMoveOperator] 4065
h2 [SinglePointCrossover,LocalMoveOperator] 3877
h3 [SinglePointCrossover,SegmentMutation] 4139
h4 [SinglePointCrossover,OppositeMoveOperator] 4032
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 3998
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 3966
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 3992
h8 [IntegerTwoPointsCrossover,SegmentMutation] 3954
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 4011
h10 [MultiPointsCrossover,BitFlipMutation] 3990
h11 [MultiPointsCrossover,LoopMoveOperator] 3993
h12 [MultiPointsCrossover,LocalMoveOperator] 4035
h13 [MultiPointsCrossover,SegmentMutation] 3957
h14 [MultiPointsCrossover,OppositeMoveOperator] 3947
