h0 [SinglePointCrossover,BitFlipMutation] 3982
h1 [SinglePointCrossover,LoopMoveOperator] 4027
h2 [SinglePointCrossover,LocalMoveOperator] 3981
h3 [SinglePointCrossover,SegmentMutation] 3962
h4 [SinglePointCrossover,OppositeMoveOperator] 4026
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 4074
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 4006
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 3927
h8 [IntegerTwoPointsCrossover,SegmentMutation] 4063
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 3946
h10 [MultiPointsCrossover,BitFlipMutation] 4095
h11 [MultiPointsCrossover,LoopMoveOperator] 4004
h12 [MultiPointsCrossover,LocalMoveOperator] 3934
h13 [MultiPointsCrossover,SegmentMutation] 3886
h14 [MultiPointsCrossover,OppositeMoveOperator] 4087
