h0 [SinglePointCrossover,BitFlipMutation] 1983
h1 [SinglePointCrossover,LoopMoveOperator] 2014
h2 [SinglePointCrossover,LocalMoveOperator] 1948
h3 [SinglePointCrossover,SegmentMutation] 1938
h4 [SinglePointCrossover,OppositeMoveOperator] 1991
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 1992
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 2038
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 1927
h8 [IntegerTwoPointsCrossover,SegmentMutation] 1945
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 2049
h10 [MultiPointsCrossover,BitFlipMutation] 2023
h11 [MultiPointsCrossover,LoopMoveOperator] 1847
h12 [MultiPointsCrossover,LocalMoveOperator] 1916
h13 [MultiPointsCrossover,SegmentMutation] 1963
h14 [MultiPointsCrossover,OppositeMoveOperator] 1926
