h0 [SinglePointCrossover,BitFlipMutation] 1917
h1 [SinglePointCrossover,LoopMoveOperator] 2022
h2 [SinglePointCrossover,LocalMoveOperator] 2051
h3 [SinglePointCrossover,SegmentMutation] 1943
h4 [SinglePointCrossover,OppositeMoveOperator] 1954
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 2009
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 1951
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 2044
h8 [IntegerTwoPointsCrossover,SegmentMutation] 1971
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 1984
h10 [MultiPointsCrossover,BitFlipMutation] 2002
h11 [MultiPointsCrossover,LoopMoveOperator] 1964
h12 [MultiPointsCrossover,LocalMoveOperator] 1971
h13 [MultiPointsCrossover,SegmentMutation] 1937
h14 [MultiPointsCrossover,OppositeMoveOperator] 1980
