h0 [SinglePointCrossover,BitFlipMutation] 4068
h1 [SinglePointCrossover,LoopMoveOperator] 4084
h2 [SinglePointCrossover,LocalMoveOperator] 4079
h3 [SinglePointCrossover,SegmentMutation] 4079
h4 [SinglePointCrossover,OppositeMoveOperator] 4054
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 4092
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 3999
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 4027
h8 [IntegerTwoPointsCrossover,SegmentMutation] 4008
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 3944
h10 [MultiPointsCrossover,BitFlipMutation] 3988
h11 [MultiPointsCrossover,LoopMoveOperator] 3946
h12 [MultiPointsCrossover,LocalMoveOperator] 3960
h13 [MultiPointsCrossover,SegmentMutation] 3979
h14 [MultiPointsCrossover,OppositeMoveOperator] 3993
