h0 [SinglePointCrossover,BitFlipMutation] 1987
h1 [SinglePointCrossover,LoopMoveOperator] 1959
h2 [SinglePointCrossover,LocalMoveOperator] 2045
h3 [SinglePointCrossover,SegmentMutation] 2005
h4 [SinglePointCrossover,OppositeMoveOperator] 2019
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 1994
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 1964
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 1914
h8 [IntegerTwoPointsCrossover,SegmentMutation] 2013
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 1954
h10 [MultiPointsCrossover,BitFlipMutation] 2016
h11 [MultiPointsCrossover,LoopMoveOperator] 1945
h12 [MultiPointsCrossover,LocalMoveOperator] 1930
h13 [MultiPointsCrossover,SegmentMutation] 1989
h14 [MultiPointsCrossover,OppositeMoveOperator] 1966
