h0 [SinglePointCrossover,BitFlipMutation] 4049
h1 [SinglePointCrossover,LoopMoveOperator] 4039
h2 [SinglePointCrossover,LocalMoveOperator] 4044
h3 [SinglePointCrossover,SegmentMutation] 3983
h4 [SinglePointCrossover,OppositeMoveOperator] 4054
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 3981
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 3970
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 3953
h8 [IntegerTwoPointsCrossover,SegmentMutation] 3877
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 4025
h10 [MultiPointsCrossover,BitFlipMutation] 3980
h11 [MultiPointsCrossover,LoopMoveOperator] 3963
h12 [MultiPointsCrossover,LocalMoveOperator] 3990
h13 [MultiPointsCrossover,SegmentMutation] 3988
h14 [MultiPointsCrossover,OppositeMoveOperator] 4104
