h0 [SinglePointCrossover,BitFlipMutation] 3929
h1 [SinglePointCrossover,LoopMoveOperator] 3997
h2 [SinglePointCrossover,LocalMoveOperator] 3966
h3 [SinglePointCrossover,SegmentMutation] 3980
h4 [SinglePointCrossover,OppositeMoveOperator] 4015
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 3953
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 4100
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 3969
h8 [IntegerTwoPointsCrossover,SegmentMutation] 4012
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 3971
h10 [MultiPointsCrossover,BitFlipMutation] 4086
h11 [MultiPointsCrossover,LoopMoveOperator] 4009
h12 [MultiPointsCrossover,LocalMoveOperator] 3913
h13 [MultiPointsCrossover,SegmentMutation] 4081
h14 [MultiPointsCrossover,OppositeMoveOperator] 4019
