h0 [SinglePointCrossover,BitFlipMutation] 4023
h1 [SinglePointCrossover,LoopMoveOperator] 3952
h2 [SinglePointCrossover,LocalMoveOperator] 3938
h3 [SinglePointCrossover,SegmentMutation] 4092
h4 [SinglePointCrossover,OppositeMoveOperator] 4024
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 3960
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 4057
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 3986
h8 [IntegerTwoPointsCrossover,SegmentMutation] 4084
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 3947
h10 [MultiPointsCrossover,BitFlipMutation] 3994
h11 [MultiPointsCrossover,LoopMoveOperator] 3968
h12 [MultiPointsCrossover,LocalMoveOperator] 3977
h13 [MultiPointsCrossover,SegmentMutation] 3993
h14 [MultiPointsCrossover,OppositeMoveOperator] 4005
