h0 [SinglePointCrossover,BitFlipMutation] 3942
h1 [SinglePointCrossover,LoopMoveOperator] 4022
h2 [SinglePointCrossover,LocalMoveOperator] 4056
h3 [SinglePointCrossover,SegmentMutation] 3915
h4 [SinglePointCrossover,OppositeMoveOperator] 3973
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 4019
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 3971
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 4112
h8 [IntegerTwoPointsCrossover,SegmentMutation] 4043
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 4012
h10 [MultiPointsCrossover,BitFlipMutation] 3941
h11 [MultiPointsCrossover,LoopMoveOperator] 4006
h12 [MultiPointsCrossover,LocalMoveOperator] 4135
h13 [MultiPointsCrossover,SegmentMutation] 3994
h14 [MultiPointsCrossover,OppositeMoveOperator] 3859
