h0 [SinglePointCrossover,BitFlipMutation] 3979
h1 [SinglePointCrossover,LoopMoveOperator] 4103
h2 [SinglePointCrossover,LocalMoveOperator] 3951
h3 [SinglePointCrossover,SegmentMutation] 3954
h4 [SinglePointCrossover,OppositeMoveOperator] 4093
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 4009
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 3935
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 3916
h8 [IntegerTwoPointsCrossover,SegmentMutation] 3987
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 3999
h10 [MultiPointsCrossover,BitFlipMutation] 4084
h11 [MultiPointsCrossover,LoopMoveOperator] 4055
h12 [MultiPointsCrossover,LocalMoveOperator] 3960
h13 [MultiPointsCrossover,SegmentMutation] 3971
h14 [MultiPointsCrossover,OppositeMoveOperator] 4004
