h0 [SinglePointCrossover,BitFlipMutation] 3955
h1 [SinglePointCrossover,LoopMoveOperator] 3971
h2 [SinglePointCrossover,LocalMoveOperator] 4024
h3 [SinglePointCrossover,SegmentMutation] 4008
h4 [SinglePointCrossover,OppositeMoveOperator] 4066
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 4082
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 3925
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 3912
h8 [IntegerTwoPointsCrossover,SegmentMutation] 3941
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 4089
h10 [MultiPointsCrossover,BitFlipMutation] 3923
h11 [MultiPointsCrossover,LoopMoveOperator] 4086
h12 [MultiPointsCrossover,LocalMoveOperator] 4010
h13 [MultiPointsCrossover,SegmentMutation] 3969
h14 [MultiPointsCrossover,OppositeMoveOperator] 4039
