h0 [SinglePointCrossover,BitFlipMutation] 1943
h1 [SinglePointCrossover,LoopMoveOperator] 2002
h2 [SinglePointCrossover,LocalMoveOperator] 2000
h3 [SinglePointCrossover,SegmentMutation] 1853
h4 [SinglePointCrossover,OppositeMoveOperator] 2010
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 2011
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 1974
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 1963
h8 [IntegerTwoPointsCrossover,SegmentMutation] 2004
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 2016
h10 [MultiPointsCrossover,BitFlipMutation] 2029
h11 [MultiPointsCrossover,LoopMoveOperator] 1980
h12 [MultiPointsCrossover,LocalMoveOperator] 1993
h13 [MultiPointsCrossover,SegmentMutation] 1989
h14 [MultiPointsCrossover,OppositeMoveOperator] 1983
