h0 [SinglePointCrossover,BitFlipMutation] 2015
h1 [SinglePointCrossover,LoopMoveOperator] 1983
h2 [SinglePointCrossover,LocalMoveOperator] 1956
h3 [SinglePointCrossover,SegmentMutation] 1966
h4 [SinglePointCrossover,OppositeMoveOperator] 2070
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 1936
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 1905
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 1989
h8 [IntegerTwoPointsCrossover,SegmentMutation] 1957
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 1937
h10 [MultiPointsCrossover,BitFlipMutation] 2018
h11 [MultiPointsCrossover,LoopMoveOperator] 1981
h12 [MultiPointsCrossover,LocalMoveOperator] 2022
h13 [MultiPointsCrossover,SegmentMutation] 1938
h14 [MultiPointsCrossover,OppositeMoveOperator] 2027
