h0 [SinglePointCrossover,BitFlipMutation] 1942
h1 [SinglePointCrossover,LoopMoveOperator] 1979
h2 [SinglePointCrossover,LocalMoveOperator] 2046
h3 [SinglePointCrossover,SegmentMutation] 2014
h4 [SinglePointCrossover,OppositeMoveOperator] 1963
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 1969
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 2086
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 1901
h8 [IntegerTwoPointsCrossover,SegmentMutation] 1881
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 2014
h10 [MultiPointsCrossover,BitFlipMutation] 2079
h11 [MultiPointsCrossover,LoopMoveOperator] 2034
h12 [MultiPointsCrossover,LocalMoveOperator] 2002
h13 [MultiPointsCrossover,SegmentMutation] 1916
h14 [MultiPointsCrossover,OppositeMoveOperator] 1924
