h0 [SinglePointCrossover,BitFlipMutation] 4007
h1 [SinglePointCrossover,LoopMoveOperator] 3971
h2 [SinglePointCrossover,LocalMoveOperator] 4055
h3 [SinglePointCrossover,SegmentMutation] 3975
h4 [SinglePointCrossover,OppositeMoveOperator] 3952
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 3991
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 3988
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 4017
h8 [IntegerTwoPointsCrossover,SegmentMutation] 4125
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 3930
h10 [MultiPointsCrossover,BitFlipMutation] 3954
h11 [MultiPointsCrossover,LoopMoveOperator] 3990
h12 [MultiPointsCrossover,LocalMoveOperator] 4085
h13 [MultiPointsCrossover,SegmentMutation] 4004
h14 [MultiPointsCrossover,OppositeMoveOperator] 3956
