h0 [SinglePointCrossover,BitFlipMutation] 1972
h1 [SinglePointCrossover,LoopMoveOperator] 1998
h2 [SinglePointCrossover,LocalMoveOperator] 1947
h3 [SinglePointCrossover,SegmentMutation] 1901
h4 [SinglePointCrossover,OppositeMoveOperator] 1915
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 2016
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 2032
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 1982
h8 [IntegerTwoPointsCrossover,SegmentMutation] 1998
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 1956
h10 [MultiPointsCrossover,BitFlipMutation] 1977
h11 [MultiPointsCrossover,LoopMoveOperator] 2031
h12 [MultiPointsCrossover,LocalMoveOperator] 1942
h13 [MultiPointsCrossover,SegmentMutation] 1995
h14 [MultiPointsCrossover,OppositeMoveOperator] 2038
