h0 [SinglePointCrossover,BitFlipMutation] 3817
h1 [SinglePointCrossover,LoopMoveOperator] 3991
h2 [SinglePointCrossover,LocalMoveOperator] 3938
h3 [SinglePointCrossover,SegmentMutation] 3961
h4 [SinglePointCrossover,OppositeMoveOperator] 4088
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 4013
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 4037
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 3954
h8 [IntegerTwoPointsCrossover,SegmentMutation] 3940
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 4145
h10 [MultiPointsCrossover,BitFlipMutation] 3874
h11 [MultiPointsCrossover,LoopMoveOperator] 4032
h12 [MultiPointsCrossover,LocalMoveOperator] 3911
h13 [MultiPointsCrossover,SegmentMutation] 3841
h14 [MultiPointsCrossover,OppositeMoveOperator] 3958
