h0 [SinglePointCrossover,BitFlipMutation] 1974
h1 [SinglePointCrossover,LoopMoveOperator] 2013
h2 [SinglePointCrossover,LocalMoveOperator] 1975
h3 [SinglePointCrossover,SegmentMutation] 2017
h4 [SinglePointCrossover,OppositeMoveOperator] 2064
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 1998
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 1944
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 1978
h8 [IntegerTwoPointsCrossover,SegmentMutation] 1952
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 1975
h10 [MultiPointsCrossover,BitFlipMutation] 2028
h11 [MultiPointsCrossover,LoopMoveOperator] 1909
h12 [MultiPointsCrossover,LocalMoveOperator] 1996
h13 [MultiPointsCrossover,SegmentMutation] 1992
h14 [MultiPointsCrossover,OppositeMoveOperator] 1985
