h0 [SinglePointCrossover,BitFlipMutation] 1954
h1 [SinglePointCrossover,LoopMoveOperator] 2002
h2 [SinglePointCrossover,LocalMoveOperator] 2016
h3 [SinglePointCrossover,SegmentMutation] 1983
h4 [SinglePointCrossover,OppositeMoveOperator] 2005
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 2013
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 1962
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 1992
h8 [IntegerTwoPointsCrossover,SegmentMutation] 1973
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 1987
h10 [MultiPointsCrossover,BitFlipMutation] 1965
h11 [MultiPointsCrossover,LoopMoveOperator] 1943
h12 [MultiPointsCrossover,LocalMoveOperator] 1961
h13 [MultiPointsCrossover,SegmentMutation] 2060
h14 [MultiPointsCrossover,OppositeMoveOperator] 2034
