h0 [SinglePointCrossover,BitFlipMutation] 4105
h1 [SinglePointCrossover,LoopMoveOperator] 3989
h2 [SinglePointCrossover,LocalMoveOperator] 3890
h3 [SinglePointCrossover,SegmentMutation] 4094
h4 [SinglePointCrossover,OppositeMoveOperator] 3858
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 3955
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 4052
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 3991
h8 [IntegerTwoPointsCrossover,SegmentMutation] 4071
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 4030
h10 [MultiPointsCrossover,BitFlipMutation] 3963
h11 [MultiPointsCrossover,LoopMoveOperator] 4068
h12 [MultiPointsCrossover,LocalMoveOperator] 3988
h13 [MultiPointsCrossover,SegmentMutation] 4005
h14 [MultiPointsCrossover,OppositeMoveOperator] 3941
