h0 [SinglePointCrossover,BitFlipMutation] 1936
h1 [SinglePointCrossover,LoopMoveOperator] 1991
h2 [SinglePointCrossover,LocalMoveOperator] 2076
h3 [SinglePointCrossover,SegmentMutation] 1937
h4 [SinglePointCrossover,OppositeMoveOperator] 1932
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 2030
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 1943
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 1960
h8 [IntegerTwoPointsCrossover,SegmentMutation] 1979
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 1976
h10 [MultiPointsCrossover,BitFlipMutation] 1995
h11 [MultiPointsCrossover,LoopMoveOperator] 1954
h12 [MultiPointsCrossover,LocalMoveOperator] 1986
h13 [MultiPointsCrossover,SegmentMutation] 2055
h14 [MultiPointsCrossover,OppositeMoveOperator] 1950
