h0 [SinglePointCrossover,BitFlipMutation] 2002
h1 [SinglePointCrossover,LoopMoveOperator] 2034
h2 [SinglePointCrossover,LocalMoveOperator] 1954
h3 [SinglePointCrossover,SegmentMutation] 1988
h4 [SinglePointCrossover,OppositeMoveOperator] 1990
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 2046
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 1970
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 2068
h8 [IntegerTwoPointsCrossover,SegmentMutation] 1870
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 2022
h10 [MultiPointsCrossover,BitFlipMutation] 1931
h11 [MultiPointsCrossover,LoopMoveOperator] 1988
h12 [MultiPointsCrossover,LocalMoveOperator] 1995
h13 [MultiPointsCrossover,SegmentMutation] 1944
h14 [MultiPointsCrossover,OppositeMoveOperator] 1948
