h0 [SinglePointCrossover,BitFlipMutation] 4060
h1 [SinglePointCrossover,LoopMoveOperator] 4031
h2 [SinglePointCrossover,LocalMoveOperator] 4038
h3 [SinglePointCrossover,SegmentMutation] 4137
h4 [SinglePointCrossover,OppositeMoveOperator] 4019
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 3977
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 3953
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 3985
h8 [IntegerTwoPointsCrossover,SegmentMutation] 4042
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 3929
h10 [MultiPointsCrossover,BitFlipMutation] 3986
h11 [MultiPointsCrossover,LoopMoveOperator] 4038
h12 [MultiPointsCrossover,LocalMoveOperator] 3979
h13 [MultiPointsCrossover,SegmentMutation] 4022
h14 [MultiPointsCrossover,OppositeMoveOperator] 4004
