h0 [SinglePointCrossover,BitFlipMutation] 4064
h1 [SinglePointCrossover,LoopMoveOperator] 3912
h2 [SinglePointCrossover,LocalMoveOperator] 3972
h3 [SinglePointCrossover,SegmentMutation] 3950
h4 [SinglePointCrossover,OppositeMoveOperator] 3898
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 3918
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 3967
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 4004
h8 [IntegerTwoPointsCrossover,SegmentMutation] 4079
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 3959
h10 [MultiPointsCrossover,BitFlipMutation] 3984
h11 [MultiPointsCrossover,LoopMoveOperator] 3942
h12 [MultiPointsCrossover,LocalMoveOperator] 3864
h13 [MultiPointsCrossover,SegmentMutation] 4037
h14 [MultiPointsCrossover,OppositeMoveOperator] 3850
