h0 [SinglePointCrossover,BitFlipMutation] 1966
h1 [SinglePointCrossover,LoopMoveOperator] 2019
h2 [SinglePointCrossover,LocalMoveOperator] 1930
h3 [SinglePointCrossover,SegmentMutation] 1934
h4 [SinglePointCrossover,OppositeMoveOperator] 2043
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 1994
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 2014
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 1890
h8 [IntegerTwoPointsCrossover,SegmentMutation] 1967
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 2031
h10 [MultiPointsCrossover,BitFlipMutation] 2026
h11 [MultiPointsCrossover,LoopMoveOperator] 1956
h12 [MultiPointsCrossover,LocalMoveOperator] 2022
h13 [MultiPointsCrossover,SegmentMutation] 2010
h14 [MultiPointsCrossover,OppositeMoveOperator] 1998
