h0 [SinglePointCrossover,BitFlipMutation] 2090
h1 [SinglePointCrossover,LoopMoveOperator] 1963
h2 [SinglePointCrossover,LocalMoveOperator] 1957
h3 [SinglePointCrossover,SegmentMutation] 1888
h4 [SinglePointCrossover,OppositeMoveOperator] 2044
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 1916
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 2016
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 1902
h8 [IntegerTwoPointsCrossover,SegmentMutation] 1930
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 1960
h10 [MultiPointsCrossover,BitFlipMutation] 2061
h11 [MultiPointsCrossover,LoopMoveOperator] 1969
h12 [MultiPointsCrossover,LocalMoveOperator] 2047
h13 [MultiPointsCrossover,SegmentMutation] 2013
h14 [MultiPointsCrossover,OppositeMoveOperator] 1944
