h0 [SinglePointCrossover,BitFlipMutation] 3898
h1 [SinglePointCrossover,LoopMoveOperator] 4087
h2 [SinglePointCrossover,LocalMoveOperator] 4058
h3 [SinglePointCrossover,SegmentMutation] 3899
h4 [SinglePointCrossover,OppositeMoveOperator] 3997
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 4076
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 3895
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 4066
h8 [IntegerTwoPointsCrossover,SegmentMutation] 3970
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 3958
h10 [MultiPointsCrossover,BitFlipMutation] 3965
h11 [MultiPointsCrossover,LoopMoveOperator] 4069
h12 [MultiPointsCrossover,LocalMoveOperator] 4004
h13 [MultiPointsCrossover,SegmentMutation] 4054
h14 [MultiPointsCrossover,OppositeMoveOperator] 4004
