h0 [SinglePointCrossover,BitFlipMutation] 3984
h1 [SinglePointCrossover,LoopMoveOperator] 4073
h2 [SinglePointCrossover,LocalMoveOperator] 3971
h3 [SinglePointCrossover,SegmentMutation] 4079
h4 [SinglePointCrossover,OppositeMoveOperator] 3958
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 4006
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 3970
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 3929
h8 [IntegerTwoPointsCrossover,SegmentMutation] 4000
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 3901
h10 [MultiPointsCrossover,BitFlipMutation] 4008
h11 [MultiPointsCrossover,LoopMoveOperator] 3991
h12 [MultiPointsCrossover,LocalMoveOperator] 3972
h13 [MultiPointsCrossover,SegmentMutation] 4074
h14 [MultiPointsCrossover,OppositeMoveOperator] 4084
