h0 [SinglePointCrossover,BitFlipMutation] 3949
h1 [SinglePointCrossover,LoopMoveOperator] 3939
h2 [SinglePointCrossover,LocalMoveOperator] 3995
h3 [SinglePointCrossover,SegmentMutation] 3929
h4 [SinglePointCrossover,OppositeMoveOperator] 4020
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 3968
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 3945
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 3961
h8 [IntegerTwoPointsCrossover,SegmentMutation] 4007
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 3847
h10 [MultiPointsCrossover,BitFlipMutation] 3959
h11 [MultiPointsCrossover,LoopMoveOperator] 3954
h12 [MultiPointsCrossover,LocalMoveOperator] 3994
h13 [MultiPointsCrossover,SegmentMutation] 3983
h14 [MultiPointsCrossover,OppositeMoveOperator] 3950
