h0 [SinglePointCrossover,BitFlipMutation] 3959
h1 [SinglePointCrossover,LoopMoveOperator] 4045
h2 [SinglePointCrossover,LocalMoveOperator] 4062
h3 [SinglePointCrossover,SegmentMutation] 3918
h4 [SinglePointCrossover,OppositeMoveOperator] 3985
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 3977
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 4004
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 4053
h8 [IntegerTwoPointsCrossover,SegmentMutation] 3993
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 3997
h10 [MultiPointsCrossover,BitFlipMutation] 3982
h11 [MultiPointsCrossover,LoopMoveOperator] 3982
h12 [MultiPointsCrossover,LocalMoveOperator] 3962
h13 [MultiPointsCrossover,SegmentMutation] 3952
h14 [MultiPointsCrossover,OppositeMoveOperator] 4129
