h0 [SinglePointCrossover,BitFlipMutation] 1991
h1 [SinglePointCrossover,LoopMoveOperator] 1893
h2 [SinglePointCrossover,LocalMoveOperator] 2027
h3 [SinglePointCrossover,SegmentMutation] 1995
h4 [SinglePointCrossover,OppositeMoveOperator] 2072
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 1977
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 2001
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 1989
h8 [IntegerTwoPointsCrossover,SegmentMutation] 1918
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 2022
h10 [MultiPointsCrossover,BitFlipMutation] 2070
h11 [MultiPointsCrossover,LoopMoveOperator] 1953
h12 [MultiPointsCrossover,LocalMoveOperator] 1968
h13 [MultiPointsCrossover,SegmentMutation] 1972
h14 [MultiPointsCrossover,OppositeMoveOperator] 2002
