h0 [SinglePointCrossover,BitFlipMutation] 4029
h1 [SinglePointCrossover,LoopMoveOperator] 3840
h2 [SinglePointCrossover,LocalMoveOperator] 3994
h3 [SinglePointCrossover,SegmentMutation] 4017
h4 [SinglePointCrossover,OppositeMoveOperator] 3919
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 3964
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 3984
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 4011
h8 [IntegerTwoPointsCrossover,SegmentMutation] 3969
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 4057
h10 [MultiPointsCrossover,BitFlipMutation] 4086
h11 [MultiPointsCrossover,LoopMoveOperator] 4046
h12 [MultiPointsCrossover,LocalMoveOperator] 4001
h13 [MultiPointsCrossover,SegmentMutation] 4017
h14 [MultiPointsCrossover,OppositeMoveOperator] 4066
