h0 [SinglePointCrossover,BitFlipMutation] 4016
h1 [SinglePointCrossover,LoopMoveOperator] 4007
h2 [SinglePointCrossover,LocalMoveOperator] 4075
h3 [SinglePointCrossover,SegmentMutation] 4024
h4 [SinglePointCrossover,OppositeMoveOperator] 3990
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 3912
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 3883
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 4024
h8 [IntegerTwoPointsCrossover,SegmentMutation] 3973
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 4182
h10 [MultiPointsCrossover,BitFlipMutation] 4068
h11 [MultiPointsCrossover,LoopMoveOperator] 3939
h12 [MultiPointsCrossover,LocalMoveOperator] 3908
h13 [MultiPointsCrossover,SegmentMutation] 4042
h14 [MultiPointsCrossover,OppositeMoveOperator] 3957
