h0 [SinglePointCrossover,BitFlipMutation] 4052
h1 [SinglePointCrossover,LoopMoveOperator] 4012
h2 [SinglePointCrossover,LocalMoveOperator] 4032
h3 [SinglePointCrossover,SegmentMutation] 3893
h4 [SinglePointCrossover,OppositeMoveOperator] 3960
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 4037
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 3856
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 3973
h8 [IntegerTwoPointsCrossover,SegmentMutation] 3989
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 3994
h10 [MultiPointsCrossover,BitFlipMutation] 3925
h11 [MultiPointsCrossover,LoopMoveOperator] 3941
h12 [MultiPointsCrossover,LocalMoveOperator] 3987
h13 [MultiPointsCrossover,SegmentMutation] 3863
h14 [MultiPointsCrossover,OppositeMoveOperator] 3986
