h0 [SinglePointCrossover,BitFlipMutation] 3981
h1 [SinglePointCrossover,LoopMoveOperator] 3948
h2 [SinglePointCrossover,LocalMoveOperator] 3954
h3 [SinglePointCrossover,SegmentMutation] 4109
h4 [SinglePointCrossover,OppositeMoveOperator] 3836
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 4031
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 3922
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 3967
h8 [IntegerTwoPointsCrossover,SegmentMutation] 3942
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 3955
h10 [MultiPointsCrossover,BitFlipMutation] 3977
h11 [MultiPointsCrossover,LoopMoveOperator] 3942
h12 [MultiPointsCrossover,LocalMoveOperator] 3871
h13 [MultiPointsCrossover,SegmentMutation] 3974
h14 [MultiPointsCrossover,OppositeMoveOperator] 4091
