h0 [SinglePointCrossover,BitFlipMutation] 2037
h1 [SinglePointCrossover,LoopMoveOperator] 1998
h2 [SinglePointCrossover,LocalMoveOperator] 1945
h3 [SinglePointCrossover,SegmentMutation] 1917
h4 [SinglePointCrossover,OppositeMoveOperator] 1981
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 1942
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 2027
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 2062
h8 [IntegerTwoPointsCrossover,SegmentMutation] 1977
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 2041
h10 [MultiPointsCrossover,BitFlipMutation] 2001
h11 [MultiPointsCrossover,LoopMoveOperator] 1908
h12 [MultiPointsCrossover,LocalMoveOperator] 2015
h13 [MultiPointsCrossover,SegmentMutation] 1978
h14 [MultiPointsCrossover,OppositeMoveOperator] 1921
