h0 [SinglePointCrossover,BitFlipMutation] 1966
h1 [SinglePointCrossover,LoopMoveOperator] 2007
h2 [SinglePointCrossover,LocalMoveOperator] 1973
h3 [SinglePointCrossover,SegmentMutation] 2013
h4 [SinglePointCrossover,OppositeMoveOperator] 1943
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 1991
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 1968
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 1973
h8 [IntegerTwoPointsCrossover,SegmentMutation] 1994
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 1914
h10 [MultiPointsCrossover,BitFlipMutation] 1965
h11 [MultiPointsCrossover,LoopMoveOperator] 2072
h12 [MultiPointsCrossover,LocalMoveOperator] 2026
h13 [MultiPointsCrossover,SegmentMutation] 1964
h14 [MultiPointsCrossover,OppositeMoveOperator] 2031
