h0 [SinglePointCrossover,BitFlipMutation] 2068
h1 [SinglePointCrossover,LoopMoveOperator] 1954
h2 [SinglePointCrossover,LocalMoveOperator] 1928
h3 [SinglePointCrossover,SegmentMutation] 1988
h4 [SinglePointCrossover,OppositeMoveOperator] 1931
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 1987
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 1983
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 2025
h8 [IntegerTwoPointsCrossover,SegmentMutation] 1962
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 1918
h10 [MultiPointsCrossover,BitFlipMutation] 2041
h11 [MultiPointsCrossover,LoopMoveOperator] 1957
h12 [MultiPointsCrossover,LocalMoveOperator] 1942
h13 [MultiPointsCrossover,SegmentMutation] 1972
h14 [MultiPointsCrossover,OppositeMoveOperator] 2044
