h0 [SinglePointCrossover,BitFlipMutation] 4056
h1 [SinglePointCrossover,LoopMoveOperator] 4053
h2 [SinglePointCrossover,LocalMoveOperator] 4006
h3 [SinglePointCrossover,SegmentMutation] 4058
h4 [SinglePointCrossover,OppositeMoveOperator] 3966
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 4005
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 3957
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 4097
h8 [IntegerTwoPointsCrossover,SegmentMutation] 4006
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 3986
h10 [MultiPointsCrossover,BitFlipMutation] 4011
h11 [MultiPointsCrossover,LoopMoveOperator] 3983
h12 [MultiPointsCrossover,LocalMoveOperator] 3950
h13 [MultiPointsCrossover,SegmentMutation] 3899
h14 [MultiPointsCrossover,OppositeMoveOperator] 3967
