h0 [SinglePointCrossover,BitFlipMutation] 4030
h1 [SinglePointCrossover,LoopMoveOperator] 4006
h2 [SinglePointCrossover,LocalMoveOperator] 3927
h3 [SinglePointCrossover,SegmentMutation] 4055
h4 [SinglePointCrossover,OppositeMoveOperator] 4041
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 4035
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 3940
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 3992
h8 [IntegerTwoPointsCrossover,SegmentMutation] 4066
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 4015
h10 [MultiPointsCrossover,BitFlipMutation] 3957
h11 [MultiPointsCrossover,LoopMoveOperator] 3959
h12 [MultiPointsCrossover,LocalMoveOperator] 4029
h13 [MultiPointsCrossover,SegmentMutation] 4082
h14 [MultiPointsCrossover,OppositeMoveOperator] 3866
