h0 [SinglePointCrossover,BitFlipMutation] 1947
h1 [SinglePointCrossover,LoopMoveOperator] 1990
h2 [SinglePointCrossover,LocalMoveOperator] 1967
h3 [SinglePointCrossover,SegmentMutation] 2021
h4 [SinglePointCrossover,OppositeMoveOperator] 1998
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 2031
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 1941
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 1905
h8 [IntegerTwoPointsCrossover,SegmentMutation] 2017
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 1975
h10 [MultiPointsCrossover,BitFlipMutation] 2046
h11 [MultiPointsCrossover,LoopMoveOperator] 1958
h12 [MultiPointsCrossover,LocalMoveOperator] 2058
h13 [MultiPointsCrossover,SegmentMutation] 1928
h14 [MultiPointsCrossover,OppositeMoveOperator] 1968
